ID,Type,Movie_number,Fly_number,Other_number,Difference_x,Difference_y,Distance
77,Dmelanogaster,1,0,4,62.45637113,37.19461124,72.6927603
78,Dmelanogaster,1,1,4,52.74322427,42.18660054,67.53929946
79,Dmelanogaster,1,2,4,38.60212178,20.95732237,43.9241752
80,Dmelanogaster,1,3,4,3.068231342,100.325142,100.3720487
81,Dmelanogaster,1,5,4,52.81153345,46.20436133,70.17051426
82,Dmelanogaster,1,6,4,-6.232555916,104.4716069,104.6573523
83,Dmelanogaster,1,7,4,51.771657,38.89892123,64.75670267
84,Dmelanogaster,1,8,4,23.20862546,60.14143847,64.46419873
85,Dmelanogaster,1,9,4,65.37501345,48.5402943,81.42513466
86,Dmelanogaster,1,10,4,48.10344704,48.5918216,68.37475224
87,Dmelanogaster,1,11,4,54.73813285,86.85097867,102.6613641
88,Dmelanogaster,1,12,4,14.66916849,63.93464371,65.59590818
89,Dmelanogaster,1,13,4,-7.384236776,24.17318197,25.27587148
90,Dmelanogaster,1,14,4,8.021531869,93.39905714,93.74288692
91,Dmelanogaster,1,15,4,2.199108964,103.7554437,103.7787463
92,Dmelanogaster,1,16,4,14.10559584,84.87205997,86.03623886
93,Dmelanogaster,1,17,4,32.26723478,34.17024915,46.99766343
94,Dmelanogaster,1,18,4,29.73873131,12.76383417,32.36213223
95,Dmelanogaster,1,19,4,35.8391948,6.657718424,36.4523401
96,Dmelanogaster,1,0,5,9.644837685,-9.009750088,13.19842758
97,Dmelanogaster,1,1,5,-0.068309178,-4.017760785,4.018341433
98,Dmelanogaster,1,2,5,-14.20941167,-25.24703896,28.97102615
99,Dmelanogaster,1,3,5,-49.74330211,54.12078069,73.50819687
100,Dmelanogaster,1,4,5,-52.81153345,-46.20436133,70.17051426
101,Dmelanogaster,1,6,5,-59.04408937,58.26724552,82.95345918
102,Dmelanogaster,1,7,5,-1.039876455,-7.305440095,7.3790784
103,Dmelanogaster,1,8,5,-29.60290799,13.93707714,32.71963143
104,Dmelanogaster,1,9,5,12.56348,2.335932975,12.77879543
105,Dmelanogaster,1,10,5,-4.708086411,2.38746027,5.278829812
106,Dmelanogaster,1,11,5,1.926599396,40.64661734,40.69225093
107,Dmelanogaster,1,12,5,-38.14236496,17.73028238,42.06189389
108,Dmelanogaster,1,13,5,-60.19577023,-22.03117936,64.10073024
109,Dmelanogaster,1,14,5,-44.79000158,47.19469581,65.06522538
110,Dmelanogaster,1,15,5,-50.61242449,57.55108237,76.64035878
111,Dmelanogaster,1,16,5,-38.70593761,38.66769864,54.71142956
112,Dmelanogaster,1,17,5,-20.54429867,-12.03411218,23.80941124
113,Dmelanogaster,1,18,5,-23.07280214,-33.44052716,40.62786058
114,Dmelanogaster,1,19,5,-16.97233865,-39.54664291,43.03483757
115,Dmelanogaster,1,0,6,68.68892705,-67.27699561,96.14760963
116,Dmelanogaster,1,1,6,58.97578019,-62.28500631,85.77624764
117,Dmelanogaster,1,2,6,44.8346777,-83.51428448,94.78810071
118,Dmelanogaster,1,3,6,9.300787259,-4.146464828,10.18321237
119,Dmelanogaster,1,4,6,6.232555916,-104.4716069,104.6573523
120,Dmelanogaster,1,5,6,59.04408937,-58.26724552,82.95345918
121,Dmelanogaster,1,7,6,58.00421291,-65.57268562,87.54579267
122,Dmelanogaster,1,8,6,29.44118137,-44.33016838,53.21604071
123,Dmelanogaster,1,9,6,71.60756937,-55.93131255,90.86228983
124,Dmelanogaster,1,10,6,54.33600296,-55.87978525,77.94197596
125,Dmelanogaster,1,11,6,60.97068876,-17.62062818,63.4658288
126,Dmelanogaster,1,12,6,20.90172441,-40.53696314,45.6084144
127,Dmelanogaster,1,13,6,-1.151680859,-80.29842488,80.30668345
128,Dmelanogaster,1,14,6,14.25408779,-11.07254971,18.04938713
129,Dmelanogaster,1,15,6,8.431664881,-0.716163154,8.462024718
130,Dmelanogaster,1,16,6,20.33815176,-19.59954688,28.24504655
131,Dmelanogaster,1,17,6,38.4997907,-70.3013577,80.15307092
132,Dmelanogaster,1,18,6,35.97128723,-91.70777268,98.51014706
133,Dmelanogaster,1,19,6,42.07175072,-97.81388843,106.478115
134,Dmelanogaster,1,0,7,10.68471414,-1.704309993,10.81978691
135,Dmelanogaster,1,1,7,0.971567277,3.28767931,3.428232521
136,Dmelanogaster,1,2,7,-13.16953522,-17.94159886,22.25618178
137,Dmelanogaster,1,3,7,-48.70342565,61.42622079,78.39135329
138,Dmelanogaster,1,4,7,-51.771657,-38.89892123,64.75670267
139,Dmelanogaster,1,5,7,1.039876455,7.305440095,7.3790784
140,Dmelanogaster,1,6,7,-58.00421291,65.57268562,87.54579267
141,Dmelanogaster,1,8,7,-28.56303154,21.24251724,35.59622605
142,Dmelanogaster,1,9,7,13.60335646,9.64137307,16.67355336
143,Dmelanogaster,1,10,7,-3.668209956,9.692900365,10.36378704
144,Dmelanogaster,1,11,7,2.966475851,47.95205743,48.0437279
145,Dmelanogaster,1,12,7,-37.1024885,25.03572247,44.75915608
146,Dmelanogaster,1,13,7,-59.15589377,-14.72573926,60.96119392
147,Dmelanogaster,1,14,7,-43.75012513,54.50013591,69.88804091
148,Dmelanogaster,1,15,7,-49.57254803,64.85652246,81.63213843
149,Dmelanogaster,1,16,7,-37.66606116,45.97313873,59.43283308
150,Dmelanogaster,1,17,7,-19.50442222,-4.72867208,20.06945006
151,Dmelanogaster,1,18,7,-22.03292568,-26.13508706,34.18322088
152,Dmelanogaster,1,19,7,-15.9324622,-32.24120281,35.96301587
153,Dmelanogaster,1,0,8,39.24774568,-22.94682723,45.46363845
154,Dmelanogaster,1,1,8,29.53459882,-17.95483793,34.56398027
155,Dmelanogaster,1,2,8,15.39349632,-39.1841161,42.09934303
156,Dmelanogaster,1,3,8,-20.14039411,40.18370355,44.94847613
157,Dmelanogaster,1,4,8,-23.20862546,-60.14143847,64.46419873
158,Dmelanogaster,1,5,8,29.60290799,-13.93707714,32.71963143
159,Dmelanogaster,1,6,8,-29.44118137,44.33016838,53.21604071
160,Dmelanogaster,1,7,8,28.56303154,-21.24251724,35.59622605
161,Dmelanogaster,1,9,8,42.16638799,-11.60114417,43.73317759
162,Dmelanogaster,1,10,8,24.89482158,-11.54961687,27.44350181
163,Dmelanogaster,1,11,8,31.52950739,26.70954019,41.32202044
164,Dmelanogaster,1,12,8,-8.539456964,3.793205235,9.344021147
165,Dmelanogaster,1,13,8,-30.59286223,-35.9682565,47.21905013
166,Dmelanogaster,1,14,8,-15.18709359,33.25761867,36.56114072
167,Dmelanogaster,1,15,8,-21.00951649,43.61400522,48.4105488
168,Dmelanogaster,1,16,8,-9.103029618,24.73062149,26.35277571
169,Dmelanogaster,1,17,8,9.058609322,-25.97118932,27.50565537
170,Dmelanogaster,1,18,8,6.530105853,-47.3776043,47.82551277
171,Dmelanogaster,1,19,8,12.63056934,-53.48372005,54.95488688
172,Dmelanogaster,1,0,9,-2.918642316,-11.34568306,11.71507564
173,Dmelanogaster,1,1,9,-12.63178918,-6.35369376,14.13971436
174,Dmelanogaster,1,2,9,-26.77289167,-27.58297193,38.43966791
175,Dmelanogaster,1,3,9,-62.30678211,51.78484772,81.01731636
176,Dmelanogaster,1,4,9,-65.37501345,-48.5402943,81.42513466
177,Dmelanogaster,1,5,9,-12.56348,-2.335932975,12.77879543
178,Dmelanogaster,1,6,9,-71.60756937,55.93131255,90.86228983
179,Dmelanogaster,1,7,9,-13.60335646,-9.64137307,16.67355336
180,Dmelanogaster,1,8,9,-42.16638799,11.60114417,43.73317759
181,Dmelanogaster,1,10,9,-17.27156641,0.051527295,17.27164327
182,Dmelanogaster,1,11,9,-10.63688061,38.31068436,39.75992663
